Model,Data,MSE,MAE,R^2
Linear Regression,Train,1641.5310001550733,24.442695498734405,0.9329927675202943
Linear Regression,Test,1850.7451144492338,23.545204839268898,0.9352616245328073
Linear Regression,Cross Validation,3171.7814689588477,30.708239104233986,0.7000356757368549
